HD 69830 c,Confirmed,0.1649,,0.014762,0.186,2006,Published in a refereed paper,Radial Velocity,,,HD 69830,12.6,0.86,0.895,41.1
HD 69830 d,Confirmed,0.2529,,0.05,0.63,2006,Published in a refereed paper,Radial Velocity,,,HD 69830,12.6,0.86,0.895,41.1
ULASJ0034,Confirmed,12.5,,,,2007,Published in a refereed paper,Imaging,"ULAS J003402.77-005206.7, ULAS J0034-00, CFBDS J003402-005206",,,12.6,,,Отсутствуют оба значения
GJ 422 b,Confirmed,,,,0.111,2014,Published in a refereed paper,Radial Velocity,,,GJ 422,12.67,0.35,,Отсутствует значение углового расстояния
VHS 1256-1257 b,Confirmed,19,,,102,2015,Published in a refereed paper,Imaging,,,VHS 1256-1257 ,12.7,0.073,,Отсутствует значение углового расстояния
HD 40307 b,Confirmed,,,0.003672,0.0475,2008,Published in a refereed paper,Radial Velocity,,,HD 40307,12.8,0.77,,42.19
HD 40307 c,Confirmed,,,0.006328,0.0812,2008,Published in a refereed paper,Radial Velocity,,,HD 40307,12.8,0.77,,41.85
HD 40307 d,Confirmed,,,0.010469,0.134,2008,Published in a refereed paper,Radial Velocity,,,HD 40307,12.8,0.77,,41.75
HD 40307 e,Confirmed,,,,0.1886,2012,Published in a refereed paper,Radial Velocity,,,HD 40307,12.8,0.77,,Отсутствует значение углового расстояния
HD 40307 f,Confirmed,,,,0.2485,2012,Published in a refereed paper,Radial Velocity,,,HD 40307,12.8,0.77,,Отсутствует значение углового расстояния
HD 40307 g,Confirmed,,,,0.6,2012,Published in a refereed paper,Radial Velocity,,,HD 40307,12.8,0.77,,Отсутствует значение углового расстояния
HD 147513 b,Confirmed,,,0.102326,1.32,2003,Published in a refereed paper,Radial Velocity,,,HD 147513,12.9,0.92,1,42.07
CFBDS0059,Confirmed,22.5,,,,2008,Published in a refereed paper,Imaging,CFBDS J005910.90-011401.3,,,13,,,Отсутствуют оба значения
GJ 1214 b,Confirmed,0.020325331,0.238202,0.001077,0.01411,2009,Published in a refereed paper,Primary Transit,,He,GJ 1214,13,0.15,0.216,42.73
HD 211970 b,Confirmed,,,,0.143,2019,Published in a refereed paper,Radial Velocity,,,HD 211970,13.13,0.61,,Отсутствует значение углового расстояния
ups And b,Confirmed,0.62,,0.00438,0.059,1996,Published in a refereed paper,Radial Velocity,HD 9826 b,,ups And,13.47,1.27,1.631,43.93
ups And c,Confirmed,9.1,,0.06392,0.861,1999,Published in a refereed paper,Radial Velocity,HD 9826 c,,ups And,13.47,1.27,1.631,43.93
ups And d,Confirmed,23.58,,0.18931,2.55,1999,Published in a refereed paper,Radial Velocity,HD 9826 d,,ups And,13.47,1.27,1.631,43.93
ups And e,Confirmed,,,0.389428,5.2456,2010,Published in a refereed paper,Radial Velocity,HD 9826 e,,ups And,13.47,1.27,1.631,43.93
GJ 3779 b,Confirmed,,,,0.026,2018,Published in a refereed paper,Radial Velocity,Ross 1020,,GJ 3779,13.748,0.27,0.281,Отсутствует значение углового расстояния
gamma Cephei b,Confirmed,11.09,,0.148658,2.05,2003,Published in a refereed paper,Radial Velocity,,,gamma Cephei,13.79,1.4,4.9,44.98
47 Uma b,Confirmed,,,0.150322,2.1,1996,Published in a refereed paper,Radial Velocity,,,47 Uma,13.97,1.03,1.24,45.56
47 Uma c,Confirmed,,,0.257695,3.6,2001,Published in a refereed paper,Radial Velocity,,,47 Uma,13.97,1.03,1.24,45.56
47 Uma d,Confirmed,,,0.830351,11.6,2010,Published in a refereed paper,Radial Velocity,,,47 Uma,13.97,1.03,1.24,45.56
G204-39 b,Confirmed,29,,,2685,2010,Published in a refereed paper,Imaging,"SDSS J175805.46+463311.9, 2MASS J17580545+4633099",,G204-39,13.9908,0.36,,Отсутствует значение углового расстояния
HIP 36985 b,Confirmed,,,,7,2019,Published in a refereed paper,Radial Velocity,,,HIP 36985,14.07,0.621,,Отсутствует значение углового расстояния
LHS 2397a B,Confirmed,64,,,3.09,2009,Published in a refereed paper,Imaging,2MASS J11214924-1313084 B,,LHS 2397a A,14.3905,0.0839,,Отсутствует значение углового расстояния
HIP 79431 b,Confirmed,,,0.025,0.36,2010,Published in a refereed paper,Radial Velocity,,,HIP 79431,14.4,0.49,,46.97
GJ 685 b,Confirmed,,,,0.1344,2019,Published in a refereed paper,Radial Velocity,,,GJ 685,14.42,0.55,0.54,Отсутствует значение углового расстояния
51 Peg b,Confirmed,0.47,1.900000,0.003537,0.052,1995,Published in a refereed paper,Radial Velocity,,"CO, H2O",51 Peg,14.7,1.11,1.266,47.95
HD 136352 b,Confirmed,,,0.006304,0.0933,2011,Submitted to a professional journal,Radial Velocity,,,HD 136352,14.8,,,48.27
HD 136352 c,Confirmed,,,0.01125,0.1665,2011,Submitted to a professional journal,Radial Velocity,,,HD 136352,14.8,,,48.27
HD 136352 d,Confirmed,,,0.02777,0.411,2011,Submitted to a professional journal,Radial Velocity,,,HD 136352,14.8,,,48.27
LHS 3844 b,Confirmed,,0.117800,,0.00623,2018,Published in a refereed paper,Primary Transit,TIC 410153553 b,,LHS 3844,14.9,0.154,0.189,Отсутствует значение углового расстояния
