Название,Статус ,Масса,Радиус,Угловая скорость (angular_distance),Большая полуось (semi_major_axis),Открытие,Опубликованность,Тип обнаружения,Альтернативное имя,Обнаруженные молекулы,Звезда-хост,Расстояние до звезды-хоста,Масса звезды,Радиус звезды
HD 180053 b,Confirmed,,1.203,,,2013,Published in a refereed paper,Radial Velocity,,,HD 180053,126.3,1.75,4.06
HD 18015 b,Confirmed,,1.17,,3.87,2018,Published in a refereed paper,Radial Velocity,,,HD 18015,,1.49,3.13
HD 180314 b,Confirmed,,,0.010606,1.4,2010,Published in a refereed paper,Radial Velocity,,,HD 180314,132,2.6,9.2
HD 180777 b,Confirmed,25,,0.008059,0.22,2006,Published in a refereed paper,Radial Velocity,59 Draconis b,,HD 180777,27.3,1.7,
HD 180902 b,Confirmed,,1.221,0.012636,1.4,2010,Submitted to a professional journal,Radial Velocity,,,HD 180902,110,1.41,4.16
HD 181234 b,Confirmed,,,,7.52,2019,Published in a refereed paper,Radial Velocity,,,HD 181234,47.84,1.01,1.05
HD 181342 b,Confirmed,,1.19,0.016094,1.592,2010,Submitted to a professional journal,Radial Velocity,HIP 95124 b,,HD 181342,110.6,1.69,4.71
HD 181433 b,Confirmed,,,0.003059,0.0801,2008,Announced on a professional conference,Radial Velocity,,,HD 181433,26.15,0.78,
HD 181433 c,Confirmed,,,0.067304,1.819,2008,Announced on a professional conference,Radial Velocity,,,HD 181433,26.15,0.78,
HD 181433 d,Confirmed,,,0.114723,6.6,2008,Published in a refereed paper,Radial Velocity,,,HD 181433,26.15,0.78,
HD 181720 b,Confirmed,12.12,,0.031786,1.78,2009,Published in a refereed paper,Radial Velocity,,,HD 181720,56,0.92,
HD 183263 b,Confirmed,,,0.028491,1.51,2004,Published in a refereed paper,Radial Velocity,,,HD 183263,53,1.17,1.21
HD 183263 c,Confirmed,,,0.080189,4.25,2008,Published in a refereed paper,Radial Velocity,,,HD 183263,53,1.17,1.21
HD 185269 A b,Confirmed,,,0.001638,0.077,2006,Published in a refereed paper,Radial Velocity,HD 185269 b,,HD 185269 A,47,1.28,1.88
HD 187085 b,Confirmed,,,0.045576,2.05,2006,Published in a refereed paper,Radial Velocity,,,HD 187085,44.98,1.22,
HD 187123 b,Confirmed,,,0.000852,0.0426,1998,Published in a refereed paper,Radial Velocity,,,HD 187123,50,1.06,1.17
HD 187123 c,Confirmed,,,0.0978,4.89,1998,Announced on a professional conference,Radial Velocity,,,HD 187123,50,1.06,1.17
HD 18742 b,Confirmed,,1.166,0.014222,1.82,2011,Published in a refereed paper,Radial Velocity,,,HD 18742,135,1.36,5.13
HD 188015 b,Confirmed,,,0.022624,1.19,2004,Published in a refereed paper,Radial Velocity,,,HD 188015,52.6,1.09,1.1
HD 189567 b,Confirmed,,,0.006209,0.1099,2011,Submitted to a professional journal,Radial Velocity,,,HD 189567,17.7,,
HD 189733 b,Confirmed,1.142,1.138,0.001628,0.03142,2005,Published in a refereed paper,Primary Transit,,"C, CH4, CO, CO2, H, H2O, He, Na, O, O I",HD 189733,19.3,0.8,0.805
HD 190228 b,Confirmed,65.7,,0.030253,2,2002,Published in a refereed paper,Radial Velocity,,,HD 190228,66.11,1.3,3.02
HD 190360 b,Confirmed,,,,3.92,2003,Published in a refereed paper,Radial Velocity,,,HD 190360,15.89,1.04,1.2
HD 190360 c,Confirmed,,,,0.128,2005,Published in a refereed paper,Radial Velocity,,,HD 190360,15.89,1.04,1.2
HD 190647 b,Confirmed,,,0.038192,2.07,2007,Published in a refereed paper,Radial Velocity,,,HD 190647,54.2,1.1,
HD 190984 b,Confirmed,,,0.053398,5.5,2009,Submitted to a professional journal,Radial Velocity,,,HD 190984,103,0.91,1.53
HD 191806 b,Confirmed,,,,2.8,2016,Published in a refereed paper,Radial Velocity,,,HD 191806,,1.14,
HD 191939 b,Confirmed,,0.3007,,0.089,2020,Published in a refereed paper,Primary Transit,,,HD 191939,53.608,0.92,0.945
HD 191939 c,Confirmed,,0.2873,,0.178,2020,Published in a refereed paper,Primary Transit,,,HD 191939,53.608,0.92,0.945
HD 191939 d,Confirmed,,0.2819,,0.216,2020,Published in a refereed paper,Primary Transit,,,HD 191939,53.608,0.92,0.945
HD 192263 b,Confirmed,,,0.007694,0.15312,1999,Published in a refereed paper,Radial Velocity,,,HD 192263,19.9,0.81,0.75
HD 192699 b,Confirmed,,1.206,0.017313,1.063,2007,Published in a refereed paper,Radial Velocity,,,HD 192699,67,1.38,4.41
HD 19467 b,Confirmed,52,,,51.1,2016,Published in a refereed paper,Imaging,,,HD 19467,30.86,0.95,1.15
HD 195019 b,Confirmed,,,0.003715,0.1388,1998,Published in a refereed paper,Radial Velocity,,,HD 195019,37.36,1.06,1.38
HD 195689 b,Confirmed,2.88,1.936,,0.03368,2017,Published in a refereed paper,Primary Transit,KELT-9 b,"Ca, Cr, Fe, Fe+, H, H2, K, Mg, Sc, Sr, Ti, Ti+, Y",HD 195689,,,
HD 196050 b,Confirmed,,,0.052665,2.47,2002,Published in a refereed paper,Radial Velocity,,,HD 196050,46.9,1.17,1.29
HD 196067 b,Confirmed,,,,5.02,2011,Published in a refereed paper,Radial Velocity,,,HD 196067,44.3,,
HD 196885 A b,Confirmed,,,0.078788,2.6,2007,Published in a refereed paper,Radial Velocity,,,HD 196885 A,33,1.33,1.79
HD 197037 A b,Confirmed,,,0.062727,2.07,2012,Published in a refereed paper,Radial Velocity,HD 197037 b,,HD 197037 A,33,1.11,
HD 19994 A b,Confirmed,,,0.06345,1.42,2003,Published in a refereed paper,Radial Velocity,"94 Cet A b, HD 19994 b, 94 Cet b",,HD 19994 A,22.38,1.34,1.93
HD 20003 b,Confirmed,,,0.002224,0.0974,2011,Published in a refereed paper,Radial Velocity,,,HD 20003,43.8,,
HD 20003 c,Confirmed,,,0.004477,0.1961,2011,Published in a refereed paper,Radial Velocity,,,HD 20003,43.8,,
HD 200964 b,Confirmed,,,0.023406,1.601,2010,Published in a refereed paper,Radial Velocity,,,HD 200964,68.4,1.44,4.3
HD 200964 c,Confirmed,,,0.028509,1.95,2010,Published in a refereed paper,Radial Velocity,,,HD 200964,68.4,1.44,4.3
HD 202206 (AB) c,Confirmed,17.9,,0.055028,2.41,2004,Published in a refereed paper,Radial Velocity,,,HD 202206 A,45.54,1.13,1.02
HD 202432 b,Confirmed,,,,1.2,2018,Published in a refereed paper,Radial Velocity,,,HD 202432,161,1.2,11.1
HD 202696 b,Confirmed,,,,1.587,2018,Published in a refereed paper,Radial Velocity,,,HD 202696,188.5,1.91,6.01
HD 202696 c,Confirmed,,,,2.36,2018,Published in a refereed paper,Radial Velocity,,,HD 202696,188.5,1.91,6.01
HD 202772 A b,Confirmed,1.008,1.562,,0.0519,2018,Published in a refereed paper,Primary Transit,,,HD 202772 A,147.2,1.703,2.614
HD 203030 b,Confirmed,11,,,487,2017,Published in a refereed paper,Imaging,"V457 Vul b, HIP 105232 b",H2O,HD 203030,41,0.97,
HD 203473 b,Confirmed,,,,2.73,2018,Published in a refereed paper,Radial Velocity,,,HD 203473,,1.12,1.33
HD 20367 b,Confirmed,,,0.046296,1.25,2002,Published in a refereed paper,Radial Velocity,,,HD 20367,27,1.04,1.18
HD 2039 b,Confirmed,,,0.024499,2.23,2002,Published in a refereed paper,Radial Velocity,,,HD 2039,89.8,0.98,1.21
HD 204313 b,Confirmed,,,0.064176,3.167,2009,Published in a refereed paper,Radial Velocity,,,HD 204313,47.37,1.045,
HD 204313 c,Confirmed,,,0.00444,0.2099,2011,Published in a refereed paper,Radial Velocity,,,HD 204313,47.37,1.045,
HD 204313 d,Confirmed,,,0.082964,3.93,2012,Published in a refereed paper,Radial Velocity,,,HD 204313,47.37,1.045,
HD 204941 b,Confirmed,,,0.094815,2.56,2011,Published in a refereed paper,Radial Velocity,,,HD 204941,27,0.74,0.72
HD 205739 b,Confirmed,,,0.009922,0.896,2008,Published in a refereed paper,Radial Velocity,,,HD 205739,90.3,1.22,1.33
HD 206255 b,Confirmed,,,,0.461,2019,Published in a refereed paper,Radial Velocity,,,HD 206255,75.41,1.42,
HD 206610 b,Confirmed,,,0.00866,1.68,2010,Submitted to a professional journal,Radial Velocity,,,HD 206610,194,1.56,6.1
HD 206893 b,Confirmed,22.5,,,10,2016,Published in a refereed paper,Imaging,,,HD 206893,38.34,1.24,
HD 20781 b,Confirmed,,,0.004774,0.169,2011,Published in a refereed paper,Radial Velocity,,,HD 20781,35.4,,
HD 20781 c,Confirmed,,,0.009763,0.3456,2011,Published in a refereed paper,Radial Velocity,,,HD 20781,35.4,,
HD 20782 b,Confirmed,,,0.03834,1.381,2006,Published in a refereed paper,Radial Velocity,,,HD 20782,36.02,1,
HD 207832 A b,Confirmed,,,,0.57,2012,Published in a refereed paper,Radial Velocity,HD 207832 b,,HD 207832 A,54.4,0.94,0.901
HD 207832 A c,Confirmed,,,,2.112,2012,Published in a refereed paper,Radial Velocity,HD 207832 c,,HD 207832 A,54.4,0.94,0.901
HD 20794 b,Confirmed,,,0.019917,0.127,2011,Published in a refereed paper,Radial Velocity,82 Eri b,,HD 20794,6.06,0.813,0.9
HD 20794 d,Confirmed,,,0.057739,0.364,2011,Published in a refereed paper,Radial Velocity,82 Eri d,,HD 20794,6.06,0.813,0.9
HD 20794 e,Confirmed,,,,0.509,2017,Published in a refereed paper,Radial Velocity,82 Eri e,,HD 20794,6.06,0.813,0.9
HD 208487 b,Confirmed,,,0.011333,0.51,2004,Published in a refereed paper,Radial Velocity,,,HD 208487,45,1.3,1.15
HD 208527 b,Confirmed,,,,2.1,2012,Published in a refereed paper,Radial Velocity,,,HD 208527,320.2,1.6,51.1
HD 20868 b,Confirmed,,,0.019366,0.947,2008,Published in a refereed paper,Radial Velocity,,,HD 20868,48.9,0.78,0.79
HD 208897 b,Confirmed,,,,1.05,2017,Published in a refereed paper,Radial Velocity,,,HD 208897,64.68,1.25,4.98
HD 209458 b,Confirmed,0.69,1.38,0.00101,0.04747,1999,Published in a refereed paper,Primary Transit,,"C, CH4, CO, CO2, Fe, H, H2, H2O, HCN, He, K, Mg, NH3, Na, O I, O2, TiO, VO",HD 209458,47,1.148,1.203
HD 210193 b,Confirmed,,,,1.487,2019,Published in a refereed paper,Radial Velocity,,,HD 210193,42.25,1.04,
HD 210277 b,Confirmed,,,0.051667,1.1,1998,Published in a refereed paper,Radial Velocity,,,HD 210277,21.29,1.09,1.1
HD 210702 b,Confirmed,,1.216,0.020893,1.148,2007,Published in a refereed paper,Radial Velocity,,,HD 210702,56,1.61,4.92
HD 211810 b,Confirmed,,,,2.656,2018,Published in a refereed paper,Radial Velocity,,,HD 211810,61,1.03,1.13
HD 211847 b,Confirmed,,,,7.5,2011,Published in a refereed paper,Radial Velocity,,,HD 211847,50.6,0.94,
HD 211970 b,Confirmed,,,,0.143,2019,Published in a refereed paper,Radial Velocity,,,HD 211970,13.13,0.61,
HD 212301 A b,Confirmed,,1.07,0.000683,0.036,2005,Published in a refereed paper,Radial Velocity,HD 212301 b,,HD 212301 A,52.7,1.05,
HD 212771 b,Confirmed,,,0.009313,1.22,2010,Submitted to a professional journal,Radial Velocity,,,HD 212771,131,1.15,5
HD 213240 b,Confirmed,,,0.049816,2.03,2001,Published in a refereed paper,Radial Velocity,,,HD 213240,40.75,1.22,1.5
HD 213885 b,Confirmed,0.02778,0.15568,,0.02012,2019,Published in a refereed paper,Primary Transit,TOI-141 b,,HD 213885,57.97,1.068,1.101
HD 213885 c,Confirmed,,,,0.056798,2019,Published in a refereed paper,Radial Velocity,TOI-141 c,,HD 213885,57.97,1.068,1.101
HD 21411 b,Confirmed,,,,0.362,2019,Published in a refereed paper,Radial Velocity,,,HD 21411,29.15,0.89,
HD 214823 b,Confirmed,,1.082,,3.23,2016,Published in a refereed paper,Radial Velocity,,,HD 214823,101.7,1.31,2.04
HD 215152 b,Confirmed,,,,0.057635,2018,Published in a refereed paper,Radial Velocity,,,HD 215152,21.5,0.77,0.73
HD 215152 c,Confirmed,,,0.003033,0.067399,2011,Published in a refereed paper,Radial Velocity,,,HD 215152,21.5,0.77,0.73
HD 215152 d,Confirmed,,,0.003963,0.08799,2011,Published in a refereed paper,Radial Velocity,,,HD 215152,21.5,0.77,0.73
HD 215152 e,Confirmed,,,,0.15417,2018,Published in a refereed paper,Radial Velocity,,,HD 215152,21.5,0.77,0.73
HD 215456 b,Confirmed,,,0.017158,0.652,2011,Submitted to a professional journal,Radial Velocity,,,HD 215456,38,,
HD 215456 c,Confirmed,,,0.089316,3.394,2011,Submitted to a professional journal,Radial Velocity,,,HD 215456,38,,
HD 215497 b,Confirmed,,,0.001068,0.047,2009,Submitted to a professional journal,Radial Velocity,,,HD 215497,44,0.87,
HD 215497 c,Confirmed,,,0.029136,1.282,2009,Submitted to a professional journal,Radial Velocity,,,HD 215497,44,0.87,
HD 216435 b,Confirmed,,,0.076877,2.56,2002,Published in a refereed paper,Radial Velocity,,,HD 216435,33.3,1.3,2
HD 216437 b,Confirmed,,,0.087547,2.32,2002,Published in a refereed paper,Radial Velocity,,,HD 216437,26.5,1.06,1.1
HD 216536 b,Confirmed,,,,0.609,2015,Published in a refereed paper,Radial Velocity,,,HD 216536,,1.36,12.5
HD 216770 b,Confirmed,,,0.012105,0.46,2003,Published in a refereed paper,Radial Velocity,,,HD 216770,38,0.9,1
HD 21693 b,Confirmed,,,0.00458,0.1484,2011,Submitted to a professional journal,Radial Velocity,,,HD 21693,32.4,,
HD 21693 c,Confirmed,,,0.00816,0.2644,2011,Published in a refereed paper,Radial Velocity,,,HD 21693,32.4,,
HD 217107 b,Confirmed,,,0.003702,0.073,1998,Published in a refereed paper,Radial Velocity,,,HD 217107,19.72,1.02,1.08
HD 217107 c,Confirmed,,,0.267241,5.27,1998,Published in a refereed paper,Radial Velocity,,,HD 217107,19.72,1.02,1.08
HD 217786 A b,Confirmed,,,0.043431,2.38,2010,Published in a refereed paper,Radial Velocity,HD 217786 b,,HD 217786 A,54.8,1.02,1.27
HD 217850 b,Confirmed,,,,4.656,2018,Published in a refereed paper,Radial Velocity,,,HD 217850,61,1.03,
HD 218566 b,Confirmed,,,0.022956,0.6873,2010,Published in a refereed paper,Radial Velocity,,,HD 218566,29.94,0.85,0.86
HD 219077 b,Confirmed,,,,7.03,2012,Published in a refereed paper,Radial Velocity,,,HD 219077,29.35,1.05,
HD 219134 b,Confirmed,0.01343,0.134,,0.037,2015,Published in a refereed paper,Primary Transit,,,HD 219134,6.55,0.794,0.778
HD 219134 c,Confirmed,0.01246,0.12624,,0.062,2015,Published in a refereed paper,Radial Velocity,,,HD 219134,6.55,0.794,0.778
HD 219134 d,Confirmed,0.05236,,,0.225,2015,Published in a refereed paper,Radial Velocity,,,HD 219134,6.55,0.794,0.778
HD 219134 e,Confirmed,,,,2.56,2015,Published in a refereed paper,Radial Velocity,,,HD 219134,6.55,0.794,0.778
HD 219134 f,Confirmed,0.0208,,,0.139,2015,Published in a refereed paper,Default,,,HD 219134,6.55,0.794,0.778
HD 219134 g,Confirmed,,,,0.3753,2015,Published in a refereed paper,Radial Velocity,,,HD 219134,6.55,0.794,0.778
HD 219134 h,Confirmed,,,,3.064,2015,Published in a refereed paper,Radial Velocity,,,HD 219134,6.55,0.794,0.778
HD 219415 b,Confirmed,,,,3.2,2012,Published in a refereed paper,Radial Velocity,,,HD 219415,,1,2.9
HD 219666 b,Confirmed,0.0522,0.4202,,0.06356,2018,Published in a refereed paper,Primary Transit,,,HD 219666,94.4,0.92,1.03
HD 219828 b,Confirmed,,,0.000641,0.045,2007,Published in a refereed paper,Radial Velocity,,,HD 219828,81.1,1.24,1.7
HD 219828 c,Confirmed,,,,5.96,2016,Published in a refereed paper,Radial Velocity,,,HD 219828,81.1,1.24,1.7
HD 220074 b,Confirmed,,,,1.6,2012,Published in a refereed paper,Radial Velocity,,,HD 220074,290.2,1.2,49.67
HD 220197 b,Confirmed,,,,2.729,2018,Published in a refereed paper,Radial Velocity,,,HD 220197,64.5,0.91,0.98
HD 220689 b,Confirmed,,,,3.36,2011,Published in a refereed paper,Radial Velocity,,,HD 220689,44.6,,
HD 220773 b,Confirmed,,,0.100816,4.94,2012,Published in a refereed paper,Radial Velocity,,,HD 220773,49,1.16,
HD 220842 A b,Confirmed,,,,0.74,2016,Published in a refereed paper,Radial Velocity,HD 220842 b,,HD 220842 A,62.5,1.13,
HD 221287 b,Confirmed,,,0.023629,1.25,2007,Published in a refereed paper,Radial Velocity,,,HD 221287,52.9,1.25,
HD 221416 b,Confirmed,0.1904,0.836,,0.1228,2019,Published in a refereed paper,Primary Transit,,,HD 221416,95.075,1.212,2.943
HD 221420 b,Confirmed,,,,,2019,Published in a refereed paper,Radial Velocity,,,HD 221420,31.8,1.67,
HD 221585 b,Confirmed,,,,2.306,2016,Published in a refereed paper,Radial Velocity,,,HD 221585,,1.19,
HD 222076 b,Confirmed,,,,1.83,2016,Published in a refereed paper,Radial Velocity,,,HD 222076,83.5,1.07,4.14
HD 222155 b,Confirmed,,,0.10387,5.1,2012,Published in a refereed paper,Radial Velocity,,,HD 222155,49.1,1.13,1.67
HD 222582 b,Confirmed,,,0.032143,1.35,1999,Published in a refereed paper,Radial Velocity,,,HD 222582,42,0.99,1.15
HD 224538 b,Confirmed,,,,2.28,2016,Published in a refereed paper,Radial Velocity,,,HD 224538,77.76,1.54,1.34
HD 224693 b,Confirmed,,,0.002479,0.233,2006,Published in a refereed paper,Radial Velocity,,,HD 224693,94,1.33,1.7
HD 22781 b,Confirmed,,,0.03671,1.167,2011,Published in a refereed paper,Radial Velocity,,,HD 22781,31.79,0.75,
HD 23079 b,Confirmed,,,0.043103,1.596,2001,Published in a refereed paper,Radial Velocity,,,HD 23079,34.8,1.1,1.13
HD 23127 b,Confirmed,,,0.026936,2.4,2007,Published in a refereed paper,Radial Velocity,,,HD 23127,89.1,1.13,
HD 231701 b,Confirmed,,,0.004889,0.53,2007,Published in a refereed paper,Radial Velocity,,,HD 231701,108.4,1.14,1.35
HD 233604 b,Confirmed,,,,0.747,2013,Published in a refereed paper,Radial Velocity,,,HD 233604,,1.5,10.9
HD 233832 b,Confirmed,,,,4.438,2018,Published in a refereed paper,Radial Velocity,,,HD 233832,58.8,0.71,0.68
HD 23472 b,Confirmed,0.05638,0.16701,,0.121,2018,Published in a refereed paper,Primary Transit,,,HD 23472,39.1,0.75,0.73
HD 23472 c,Confirmed,0.05405,0.19172,,0.17,2018,Published in a refereed paper,Primary Transit,,,HD 23472,39.1,0.75,0.73
HD 23596 b,Confirmed,,,0.055385,2.88,2002,Published in a refereed paper,Radial Velocity,,,HD 23596,52,1.27,2.09
HD 238914 b,Confirmed,,,,5.7,2018,Published in a refereed paper,Radial Velocity,,,HD 238914,590,1.47,12.73
HD 240210 b,Confirmed,,,0.009301,1.33,2009,Published in a refereed paper,Radial Velocity,,,HD 240210,143,1.25,
HD 240237 b,Confirmed,,,0.001267,1.9,2010,Submitted to a professional journal,Radial Velocity,,,HD 240237,1500,1.69,32
HD 24040 b,Confirmed,,,0.105784,4.92,2006,Submitted to a professional journal,Radial Velocity,,,HD 24040,46.51,1.18,
HD 24064 b,Confirmed,,,,1.29,2015,Published in a refereed paper,Radial Velocity,,,HD 24064,264.4,1,38
HD 24085 b,Confirmed,,,,0.034,2019,Published in a refereed paper,Radial Velocity,,,HD 24085,54.97,1.22,
HD 25015 b,Confirmed,,,,6.19,2019,Published in a refereed paper,Radial Velocity,,,HD 25015,37.45,0.86,0.83
HD 25171 b,Confirmed,,,0.054909,3.02,2010,Published in a refereed paper,Radial Velocity,,,HD 25171,55,1.09,1.18
HD 2638 b,Confirmed,,1.04,0.000819,0.044,2005,Published in a refereed paper,Radial Velocity,,,HD 2638,53.71,0.93,
HD 2685 b,Confirmed,1.18,1.44,,0.0568,2018,Published in a refereed paper,Primary Transit,,,HD 2685,197.98,1.44,1.57
HD 26965 b,Confirmed,,,,0.215,2018,Published in a refereed paper,Radial Velocity,,,HD 26965,4.98,0.78,0.812
HD 27442 b,Confirmed,,,0.064088,1.16,2000,Published in a refereed paper,Radial Velocity,,,HD 27442,18.1,1.2,6.6
HD 27631 b,Confirmed,,,,3.25,2011,Submitted to a professional journal,Radial Velocity,,,HD 27631,45.5,,
HD 27894 b,Confirmed,,,0.002879,0.125,2005,Published in a refereed paper,Radial Velocity,,,HD 27894,42.37,0.8,
HD 27894 c,Confirmed,,,,0.198,2017,Published in a refereed paper,Radial Velocity,,,HD 27894,42.37,0.8,
HD 27894 d,Confirmed,,,,5.448,2017,Published in a refereed paper,Radial Velocity,,,HD 27894,42.37,0.8,
HD 28185 b,Confirmed,,,0.026142,1.03,2001,Published in a refereed paper,Radial Velocity,,,HD 28185,39.4,1.24,1.03
HD 28254 A b,Confirmed,,,0.038256,2.15,2009,Submitted to a professional journal,Radial Velocity,HD 28254 b,,HD 28254 A,56.2,1.06,1.48
HD 283668 b,Confirmed,,,,3.3,2016,Published in a refereed paper,Radial Velocity,,,HD 283668,42.3,0.68,
HD 283869 b,Confirmed,,0.1749,,0.4,2018,Published in a refereed paper,Primary Transit,,,HD 283869,47.51,0.74,0.66
HD 284149 b,Confirmed,32,,,400,2014,Published in a refereed paper,Imaging,,,HD 284149,108.2,1.14,
HD 285507 b,Confirmed,,,,0.0729,2013,Published in a refereed paper,Radial Velocity,,,HD 285507,41.3,0.734,0.656
HD 286123 b,Confirmed,0.398,1,,0.104,2018,Published in a refereed paper,Primary Transit,"K2-232 b, EPIC 247098361 b",,HD 286123,133.1,1.188,1.161
HD 28678 b,Confirmed,,,0.005463,1.24,2011,Published in a refereed paper,Radial Velocity,,,HD 28678,227,1.74,6.2
HD 29021 b,Confirmed,,,,2.28,2017,Published in a refereed paper,Radial Velocity,,,HD 29021,30.6,0.85,0.85
HD 290327 b,Confirmed,,,0.062477,3.43,2009,Submitted to a professional journal,Radial Velocity,,,HD 290327,54.9,0.9,1
HD 2952 b,Confirmed,,,,1.2,2013,Published in a refereed paper,Radial Velocity,,,HD 2952,115.2,2.54,12.02
HD 30177 b,Confirmed,,,,3.58,2002,Published in a refereed paper,Radial Velocity,,,HD 30177,54.7,1.05,1.12
HD 30177 c,Confirmed,,,,6.99,2016,Published in a refereed paper,Radial Velocity,,,HD 30177,54.7,1.05,1.12
HD 30562 b,Confirmed,,,0.086792,2.3,2009,Published in a refereed paper,Radial Velocity,,,HD 30562,26.5,1.219,1.637
HD 30669 b,Confirmed,,,,2.69,2014,Published in a refereed paper,Radial Velocity,,,HD 30669,57,0.92,0.91
HD 30856 A b,Confirmed,,,0.016935,2,2011,Published in a refereed paper,Radial Velocity,HD 30856 b,,HD 30856 A,118.1,1.35,4.2
HD 31253 b,Confirmed,,,0.023411,1.26,2010,Published in a refereed paper,Radial Velocity,,,HD 31253,53.82,1.23,1.71
HD 31527 b,Confirmed,,,0.003246,0.1253,2011,Submitted to a professional journal,Radial Velocity,,,HD 31527,38.6,,
HD 31527 c,Confirmed,,,0.006904,0.2665,2011,Submitted to a professional journal,Radial Velocity,,,HD 31527,38.6,,
HD 31527 d,Confirmed,,,0.021194,0.8181,2011,Submitted to a professional journal,Radial Velocity,,,HD 31527,38.6,,
HD 3167 b,Confirmed,0.0158,0.152,,0.01815,2016,Published in a refereed paper,Primary Transit,"EPIC 220383386 b, HIP 2736 b",,HD 3167,45.8,0.88,0.828
HD 3167 c,Confirmed,0.0308,0.269,,0.1795,2016,Published in a refereed paper,Primary Transit,"EPIC 220383386 c, HIP 2736 c",,HD 3167,45.8,0.88,0.828
